latitude,longitude,precip
30.986462,-82.77775,0.0
30.986158,-82.75581,0.0
30.98583,-82.73389,0.0
30.985619,-82.71199,2.1059077
30.985317,-82.69007,2.1059077
30.984976,-82.66813,2.826189
30.984842,-82.64626,2.434002
30.984512,-82.62434,2.434002
30.984285,-82.60244,2.434002
30.983952,-82.58051,2.434002
30.98361,-82.558586,2.434002
30.983433,-82.53672,0.0
30.98319,-82.514824,0.0
30.982817,-82.492905,0.0
30.982586,-82.47101,0.0
30.982227,-82.44909,0.0
30.982035,-82.42722,0.0
30.981775,-82.405334,0.0
30.981567,-82.38346,0.0
30.9813,-82.36157,0.0
30.981092,-82.3397,0.0
30.980837,-82.317825,0.0
30.980621,-82.29595,0.0
30.980211,-82.274025,0.0
30.98003,-82.25218,0.0
30.979713,-82.230286,0.0
30.979525,-82.20843,0.0
30.97917,-82.18652,0.0
30.978884,-82.16465,0.0
30.97856,-82.14276,0.0
30.978374,-82.12091,0.0
30.978003,-82.099014,0.0
30.977873,-82.07718,0.0
30.977596,-82.05532,0.0
30.977268,-82.03343,0.0
30.977112,-82.011604,0.0
30.976837,-81.98974,0.0
30.976524,-81.96787,0.0
30.976357,-81.94604,0.0
30.976059,-81.924164,0.0
30.975834,-81.90232,0.0
30.975739,-81.88052,0.0
30.975554,-81.85869,0.0
30.975302,-81.83684,0.0
30.97498,-81.81498,0.0
30.974619,-81.793106,0.0
30.974417,-81.77128,0.0
30.974167,-81.749435,0.0
30.973898,-81.727585,0.0
30.973688,-81.705765,0.0
30.973412,-81.68392,0.0
30.973276,-81.66211,0.0
30.973053,-81.64029,0.0
30.972641,-81.61841,0.0
30.972412,-81.59659,0.0
30.972197,-81.574776,0.0
30.971937,-81.55295,0.0
30.971699,-81.53112,0.0
30.971453,-81.50929,0.0
30.971329,-81.487495,0.0
30.971142,-81.4657,0.0
30.970804,-81.443855,0.0
30.970478,-81.42202,0.0
30.970278,-81.40021,0.0
30.970137,-81.378426,0.0
